City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,djambala,-2.5447,14.7533,19.61,96,79,0.6,CG,1702011276
114,iskateley,67.6803,53.1512,-16.1,96,100,3.58,RU,1702011276
115,usinsk,65.9939,57.5281,-23.29,100,100,2.24,RU,1702011276
116,nenjiang,49.1833,125.2167,-11.8,90,100,4.53,CN,1702011276
117,ola,59.5833,151.2833,-6.03,78,100,7.25,RU,1702011277
118,guerrero negro,27.9769,-114.0611,17.99,81,2,7.91,MX,1702011277
119,shimoga,13.9167,75.5667,28.1,57,90,2.77,IN,1702011277
120,lagoa,39.05,-27.9833,18.98,84,100,14.55,PT,1702011277
121,kasongo,-4.45,26.6667,20.25,99,64,0.33,CD,1702011277
122,orkney,-26.9802,26.6727,22.09,46,9,7.34,ZA,1702011277
123,wau,7.7029,27.9953,22.87,25,6,1.95,SS,1702011278
124,mabaruma,8.2,-59.7833,23.21,99,43,0.71,GY,1702011278
125,timmins,48.4669,-81.3331,-3.1,100,100,2.57,CA,1702011278
126,san rafael del yuma,18.4299,-68.6739,25.76,89,0,3.98,DO,1702011278
127,korsakov,46.6328,142.7813,-0.09,61,72,9.99,RU,1702011278
128,kodiak,57.79,-152.4072,-3.27,50,0,4.63,US,1702011278
129,fort morgan,40.2503,-103.8,6.68,39,2,10.8,US,1702011169
130,fisterra,42.9049,-9.2629,13.19,68,19,7.71,ES,1702011279
131,isafjordur,66.0755,-23.124,-2.91,79,50,3.38,IS,1702011279
132,dutsen wai,10.8501,8.199,17.19,23,79,2.67,NG,1702011279
133,vorkuta,67.5,64.0,-24.21,99,100,1.73,RU,1702011279
134,gulf shores,30.246,-87.7008,13.89,100,0,1.54,US,1702011279
135,huarmey,-10.0681,-78.1522,20.22,88,51,4.67,PE,1702011279
136,dryden,49.7833,-92.7503,2.16,75,100,4.63,CA,1702011022
137,st. john's,47.5649,-52.7093,-2.79,81,75,14.4,CA,1702011250
138,wailua homesteads,22.0669,-159.378,25.24,86,75,4.12,US,1702011280
139,cabedelo,-6.9811,-34.8339,26.37,78,49,4.92,BR,1702011280
140,broken hill,-31.95,141.4333,40.98,12,75,14.33,AU,1702011280
141,al kut,32.5147,45.819,18.89,25,68,0.96,IQ,1702011280
142,badger,64.8,-147.5333,-18.13,78,75,2.57,US,1702011280
143,sandnessjoen,66.0217,12.6316,-3.94,80,40,3.09,NO,1702011280
144,olonkinbyen,70.9221,-8.7187,-3.36,74,88,4.57,SJ,1702011280
145,port lincoln,-34.7333,135.8667,25.35,47,100,3.84,AU,1702011281
146,tiksi,71.6872,128.8694,-33.46,100,93,1.17,RU,1702011281
147,berezovyy,51.6667,135.7,-9.82,54,18,1.0,RU,1702011281
148,harper,4.375,-7.7169,25.88,83,31,3.2,LR,1702011281
149,awjilah,29.1081,21.2869,13.26,86,0,7.05,LY,1702011281
150,kone,-21.0595,164.8658,27.12,56,100,4.26,NC,1702011281
151,naracoorte,-36.9579,140.7383,29.0,35,86,5.91,AU,1702011281
152,udachny,66.4167,112.4,-29.2,74,100,1.62,RU,1702011282
153,taksimo,56.3444,114.8794,-25.2,78,100,1.44,RU,1702011282
154,paka,4.6374,103.4368,26.96,94,40,1.03,MY,1702011282
155,sombrio,-29.1139,-49.6167,19.98,90,100,6.67,BR,1702011282
156,pekan,3.4836,103.3996,28.44,75,64,3.9,MY,1702011282
157,torzhok,57.0436,34.9622,-19.2,99,100,2.5,RU,1702011282
158,tabuk,17.4189,121.4443,29.56,66,70,1.56,PH,1702011283
159,katabu,-4.9333,122.5167,31.49,61,92,3.84,ID,1702011283
160,semnan,35.5729,53.3971,10.9,28,37,0.86,IR,1702011283
161,askoy,60.4092,5.226,-1.25,68,0,0.0,NO,1702011283
162,columbia,34.0007,-81.0348,7.51,84,0,0.0,US,1702011038
163,pierre,44.3683,-100.351,10.51,70,75,10.73,US,1702011104
164,usogorsk,63.4106,48.6872,-29.63,99,17,0.47,RU,1702011026
165,puerto colombia,10.9878,-74.9547,27.05,79,33,10.24,CO,1702011284
166,vorgashor,67.5833,63.95,-24.31,99,100,1.64,RU,1702011284
167,albany,42.6001,-73.9662,0.45,90,84,0.44,US,1702011094
168,vernon,50.2581,-119.2691,3.2,88,100,2.68,CA,1702011284
169,nizhnesortymskiy,62.4397,71.7603,-23.46,97,100,6.34,RU,1702011284
170,talcahuano,-36.7167,-73.1167,12.82,88,0,4.12,CL,1702011077
171,kourou,5.1552,-52.6478,25.03,92,33,3.81,GF,1702011284
172,aasiaat,68.7098,-52.8699,-11.01,87,100,1.69,GL,1702011284
173,dongcun,36.7767,121.1597,17.01,40,0,5.28,CN,1702011285
174,juan griego,11.0817,-63.9655,25.61,88,17,4.56,VE,1702011285
175,jerez de garcia salinas,22.65,-103.0,11.81,81,3,2.32,MX,1702011285
176,kushalgarh,23.199,74.4507,24.05,52,2,3.13,IN,1702011285
177,hastings,50.8552,0.5729,9.6,90,100,5.3,GB,1702011285
178,ust-nera,64.5667,143.2,-27.0,99,100,2.48,RU,1702011285
179,lashkar gah,31.5938,64.3716,15.12,17,1,0.79,AF,1702011285
180,sao paulo de olivenca,-3.3783,-68.8725,22.7,99,74,0.94,BR,1702011285
181,pacific grove,36.6177,-121.9166,11.06,91,40,0.45,US,1702011286
182,vadso,70.0744,29.7487,-7.91,79,94,10.8,NO,1702011286
183,macae,-22.3708,-41.7869,25.86,78,0,4.12,BR,1702011078
184,boguchany,58.3814,97.4531,-30.08,88,64,1.34,RU,1702011286
185,san patricio,28.017,-97.5169,22.13,85,80,4.67,US,1702011286
186,rancho palos verdes,33.7445,-118.387,17.53,40,1,4.02,US,1702011136
187,calama,-22.4667,-68.9333,9.27,18,0,5.14,CL,1702011286
188,hanting,36.7708,119.2108,20.42,23,0,3.09,CN,1702011286
189,kolonia,50.9333,6.95,3.23,86,75,5.14,DE,1702011287
190,thunder bay,48.4001,-89.3168,2.99,100,100,5.14,CA,1702011285
191,utrik,11.2278,169.8474,27.68,74,81,9.94,MH,1702011287
192,vilyuchinsk,52.9306,158.4028,-2.85,81,100,1.89,RU,1702011287
193,west end,26.6833,-78.9667,16.99,58,100,5.88,BS,1702011287
194,al hazm,16.1641,44.7769,16.99,39,26,1.8,YE,1702011287
195,hwange,-18.3693,26.5019,27.08,35,44,2.21,ZW,1702011287
196,lebu,-37.6167,-73.65,11.91,87,0,6.72,CL,1702011287
197,kailua-kona,19.6406,-155.9956,25.98,78,75,5.66,US,1702011288
198,tikhvin,59.6451,33.5294,-17.13,94,88,2.94,RU,1702011288
199,lame,10.4415,9.2396,18.05,23,100,0.84,NG,1702011288
200,codrington,-38.2667,141.9667,19.94,68,76,3.34,AU,1702011288
201,sumbawa besar,-8.5,117.4333,32.41,59,37,3.13,ID,1702011288
202,olinda,-8.0089,-34.8553,26.85,78,40,3.09,BR,1702011192
203,horazdovice,49.3207,13.701,-7.56,98,66,1.62,CZ,1702011288
204,geraldton,-28.7667,114.6,26.23,41,0,10.29,AU,1702011188
205,grand falls-windsor,48.9332,-55.6649,-3.05,78,99,2.68,CA,1702011289
206,motygino,58.1831,94.7592,-34.01,95,79,0.45,RU,1702011289
207,ashland,40.8167,-82.2665,7.2,91,21,3.51,US,1702011289
208,zelenogorsk,56.1147,94.5861,-23.15,95,100,1.55,RU,1702011289
209,son la,21.3167,103.9,24.57,56,90,1.26,VN,1702011289
210,villamontes,-21.25,-63.5,21.59,94,100,1.51,BO,1702011289
211,puerto baquerizo moreno,-0.9,-89.6,23.85,89,55,4.22,EC,1702011289
212,margate,51.3813,1.3862,8.26,95,100,2.24,GB,1702011290
213,tralee,52.2704,-9.7026,9.17,87,100,9.06,IE,1702011290
214,port moresby,-9.4431,147.1797,31.68,55,20,6.17,PG,1702011290
215,concordia,-31.393,-58.0209,16.28,85,0,3.4,AR,1702011290
216,tiassale,5.8983,-4.8283,23.85,93,68,0.98,CI,1702011290
217,longboat key,27.4125,-82.659,18.02,54,0,3.09,US,1702011290
218,puerto san jose,13.9256,-90.8244,24.77,76,4,2.07,GT,1702011290
219,tolanaro,-25.0319,46.9987,25.04,73,40,8.23,MG,1702011290
220,susuman,62.7833,148.1667,-21.12,95,100,0.45,RU,1702011291
221,shimoda,34.6667,138.95,15.61,57,20,0.66,JP,1702011291
222,altai,46.3722,96.2583,-12.04,53,0,1.53,MN,1702011291
223,korsor,55.3299,11.1386,0.55,100,100,7.13,DK,1702011291
224,whakatane,-37.9585,176.9854,20.84,73,44,1.79,NZ,1702011291
225,hawaiian paradise park,19.5933,-154.9731,23.73,91,100,2.57,US,1702011291
226,fort bragg,35.139,-79.006,7.12,63,0,1.54,US,1702011291
227,port isabel,26.0734,-97.2086,22.02,85,100,3.09,US,1702011292
228,jose panganiban,14.2906,122.6917,29.18,61,50,2.86,PH,1702011292
229,balabac,7.9868,117.0645,28.29,74,100,2.51,PH,1702011292
230,pisco,-13.7,-76.2167,20.03,77,0,1.54,PE,1702011292
231,puerto deseado,-47.7503,-65.8938,10.35,72,5,6.96,AR,1702011292
232,mossel bay,-34.1831,22.146,17.96,74,0,7.16,ZA,1702011292
233,angleton,29.1694,-95.4319,19.4,82,100,1.54,US,1702011078
234,pandan,14.0453,124.1694,28.38,76,98,4.28,PH,1702011293
235,itoman,26.1247,127.6694,24.21,51,0,5.66,JP,1702011293
236,piranhas,-16.4269,-51.8222,26.19,39,26,2.07,BR,1702011293
237,alofi,-19.0595,-169.9187,28.94,70,18,4.63,NU,1702011293
238,tazacorte,28.629,-17.9293,18.54,68,20,4.63,ES,1702011293
239,bandarbeyla,9.4942,50.8122,25.52,57,4,8.81,SO,1702011293
240,tura,25.5198,90.2201,20.87,73,72,1.24,IN,1702011293
241,waingapu,-9.6567,120.2641,30.92,65,98,2.09,ID,1702011294
242,coquimbo,-29.9533,-71.3436,14.85,94,0,1.54,CL,1702011294
243,pathein,16.7833,94.7333,30.87,61,20,1.42,MM,1702011123
244,sungailiat,-1.85,106.1333,30.78,65,88,2.7,ID,1702011294
245,carroll,39.5501,-77.0164,4.57,75,0,0.89,US,1702011294
246,remire-montjoly,4.9167,-52.2667,25.02,100,100,0.0,GF,1702011295
247,turuntayevo,52.2,107.6167,-19.95,77,99,4.6,RU,1702011295
248,shantou,23.3681,116.7148,21.92,37,0,2.0,CN,1702011156
249,namibe,-15.1961,12.1522,23.33,73,97,2.3,AO,1702011295
250,rongelap,11.1635,166.8941,27.38,82,31,9.69,MH,1702011295
251,fortuna,40.5982,-124.1573,8.14,96,100,0.0,US,1702011295
252,minas de marcona,-15.2119,-75.1103,14.7,83,42,4.33,PE,1702011295
253,zelenogorskiy,55.0333,87.0,-24.33,91,100,2.31,RU,1702011296
254,ankazoabo,-22.2833,44.5167,28.37,53,14,4.64,MG,1702011296
255,hirara,24.8,125.2833,25.15,65,20,5.66,JP,1702011296
256,altamont,42.2068,-121.7372,-0.89,88,75,0.89,US,1702011296
257,bairnsdale,-37.8333,147.6167,31.7,55,100,3.98,AU,1702011296
258,lata,40.1629,-8.3327,12.67,95,88,1.01,PT,1702011296
259,isangel,-19.55,169.2667,29.06,61,75,4.63,VU,1702011296
260,vila velha,-20.3297,-40.2925,25.97,85,20,3.13,BR,1702011048
261,steinbach,50.1667,8.5667,2.01,89,100,2.57,DE,1702011296
262,christchurch,-43.5333,172.6333,20.3,61,68,7.2,NZ,1702011039
263,kabinda,-6.1333,24.4833,19.5,96,100,1.01,CD,1702011297
264,san fernando de apure,7.8878,-67.4724,25.93,78,100,1.87,VE,1702011297
265,nizhneangarsk,55.7833,109.55,-27.22,88,78,4.02,RU,1702011297
266,spearfish,44.4908,-103.8594,5.37,71,100,8.75,US,1702011297
267,zhosaly,45.4878,64.0781,-4.39,37,100,7.69,KZ,1702011297
268,bonthe,7.5264,-12.505,24.97,87,0,1.76,SL,1702011297
269,nova sintra,14.8667,-24.7167,21.7,72,1,3.68,CV,1702011297
270,sitionuevo,10.7774,-74.7205,27.09,83,0,3.6,CO,1702011298
271,hecun,36.5333,114.1111,22.73,11,0,4.62,CN,1702011298
272,panguipulli,-39.6333,-72.3333,10.22,93,0,0.71,CL,1702011298
273,ancud,-41.8697,-73.8203,8.79,91,0,0.65,CL,1702011298
274,kralendijk,12.15,-68.2667,27.99,78,75,6.69,BQ,1702011176
275,ghat,24.9647,10.1728,12.51,41,8,2.04,LY,1702011040
276,uzgen,40.7699,73.3007,0.16,31,100,0.89,KG,1702011298
277,berezovo,63.9381,65.0419,-27.01,96,100,1.9,RU,1702011298
278,forked river,39.8398,-74.1901,4.19,83,100,2.06,US,1702011298
279,illizi,26.4833,8.4667,7.89,43,17,1.57,DZ,1702011299
280,isiro,2.7739,27.616,19.59,98,88,0.38,CD,1702011299
281,cascais,38.6979,-9.4215,15.28,93,74,11.18,PT,1702011299
282,plymouth,41.8334,-70.8328,0.37,84,0,0.0,US,1702011299
283,abhar,36.1468,49.218,6.32,62,92,2.15,IR,1702011299
284,new prague,44.5433,-93.5761,6.04,86,24,5.34,US,1702011275
285,baukau,51.5526,7.2042,4.11,87,100,1.79,DE,1702011300
286,uturoa,-16.7333,-151.4333,26.99,77,59,2.98,PF,1702011300
287,kabala,9.5833,-11.55,19.72,93,0,0.65,SL,1702011300
288,nova vicosa,-17.8919,-39.3719,23.72,91,10,3.59,BR,1702011300
289,chinsali,-10.5414,32.0816,20.16,87,67,0.12,ZM,1702011300
290,malakal,9.5334,31.6605,24.52,27,19,2.12,SS,1702011300
291,redencao,-4.2258,-38.7306,25.04,87,76,1.56,BR,1702011300
292,marsh harbour,26.5412,-77.0636,21.83,54,100,4.31,BS,1702011301
293,buka,40.8108,69.1986,5.85,56,100,1.83,UZ,1702011301
294,mejit,10.2753,170.8646,27.69,81,98,10.68,MH,1702011301
295,urengoy,65.9667,78.3667,-30.03,97,39,4.86,RU,1702011301
296,gillette,44.2911,-105.5022,2.19,79,0,5.14,US,1702011301
297,khandyga,62.6667,135.6,-27.01,99,100,1.53,RU,1702011301
298,kapa'a,22.0752,-159.319,25.99,86,75,4.12,US,1702011302
299,rouissat,31.9243,5.3502,7.04,61,0,0.0,DZ,1702011302
300,savannakhet,16.566,104.751,28.01,51,40,1.03,LA,1702011303
301,shalqar,47.8333,59.6,-11.97,47,97,7.18,KZ,1702011305
302,laojunmiao,39.8333,97.7333,2.69,25,4,3.21,CN,1702011305
303,mount gambier,-37.8333,140.7667,18.42,72,78,3.87,AU,1702011305
304,inari,68.906,27.0288,-10.89,88,100,4.59,FI,1702011306
305,port blair,11.6667,92.75,30.02,70,40,3.09,IN,1702011306
306,nemuro,43.3236,145.575,3.79,53,20,11.3,JP,1702011306
307,selfoss,63.9331,-20.9971,-4.65,59,20,4.62,IS,1702011306
308,san pedro,14.35,121.0167,32.57,67,20,3.6,PH,1702011307
309,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,77,75,3.58,RU,1702011307
310,paramonga,-10.6667,-77.8333,19.73,90,77,3.9,PE,1702011307
